FIPS,FIPSTEXT,y12_M085_valuetext,y12_M085_classRange,Acres of Total Cropland as Percent of Land Area in Acres: 2012_valueNumeric,y12_M270_valueText,y12_M270_classRange,Acres of Cropland and Pastureland Treated with Animal Manure as Percent of Total Cropland Acreage_valueNumeric
19171,19171,76.21,75 or more,76.21,6.29,14-May,6.29
19173,19173,62.27,50 - 74,62.27,6.71,14-May,6.71
19175,19175,54.44,50 - 74,54.44,6.32,14-May,6.32
19177,19177,45.39,30 - 49,45.39,4.6,Less than 5,4.6
19179,19179,50.18,50 - 74,50.18,4.66,Less than 5,4.66
19181,19181,50.45,50 - 74,50.45,2.88,Less than 5,2.88
19183,19183,72.67,50 - 74,72.67,18.88,15 - 29,18.88
19185,19185,59.17,50 - 74,59.17,2.22,Less than 5,2.22
19187,19187,83.76,75 or more,83.76,4.12,Less than 5,4.12
19189,19189,86.61,75 or more,86.61,10.45,14-May,10.45
19191,19191,69.14,50 - 74,69.14,14.7,14-May,14.7
19193,19193,68.84,50 - 74,68.84,5.34,14-May,5.34
19195,19195,85.29,75 or more,85.29,2.94,Less than 5,2.94
19197,19197,92.77,75 or more,92.77,10.27,14-May,10.27
20001,20001,40.43,30 - 49,40.43,0.87,Less than 5,0.87
20003,20003,60.37,50 - 74,60.37,0.84,Less than 5,0.84
20005,20005,52.34,50 - 74,52.34,1.37,Less than 5,1.37
20007,20007,26.6,15 - 29,26.6,0.95,Less than 5,0.95
20009,20009,73.51,50 - 74,73.51,1.16,Less than 5,1.16
20011,20011,31.09,30 - 49,31.09,1.67,Less than 5,1.67
20013,20013,63.59,50 - 74,63.59,1.46,Less than 5,1.46
20015,20015,32.33,30 - 49,32.33,2.52,Less than 5,2.52
20017,20017,11.33,14-May,11.33,2.67,Less than 5,2.67
20019,20019,9.7,14-May,9.7,4.42,Less than 5,4.42
20021,20021,60.22,50 - 74,60.22,7.43,14-May,7.43
20023,20023,51.59,50 - 74,51.59,1.44,Less than 5,1.44
20025,20025,30.68,30 - 49,30.68,1.76,Less than 5,1.76
20027,20027,55.88,50 - 74,55.88,1.68,Less than 5,1.68
20029,20029,45.62,30 - 49,45.62,0.24,Less than 5,0.24
20031,20031,45.71,30 - 49,45.71,0.62,Less than 5,0.62
20033,20033,28.73,15 - 29,28.73,0.06,Less than 5,0.06
20035,20035,36.94,30 - 49,36.94,1.09,Less than 5,1.09
20037,20037,50.89,50 - 74,50.89,5.39,14-May,5.39
20039,20039,47.06,30 - 49,47.06,0.37,Less than 5,0.37
20041,20041,61.86,50 - 74,61.86,3.74,Less than 5,3.74
20043,20043,53.15,50 - 74,53.15,1.01,Less than 5,1.01
20045,20045,43.62,30 - 49,43.62,1.61,Less than 5,1.61
20047,20047,71.58,50 - 74,71.58,1.63,Less than 5,1.63
20049,20049,12.46,14-May,12.46,(D),14-May,
20051,20051,44,30 - 49,44,1.21,Less than 5,1.21
20053,20053,39.88,30 - 49,39.88,0.5,Less than 5,0.5
20055,20055,80.46,75 or more,80.46,2.67,Less than 5,2.67
20057,20057,77.07,75 or more,77.07,1.22,Less than 5,1.22
20059,20059,54.88,50 - 74,54.88,1.46,Less than 5,1.46
20061,20061,23.51,15 - 29,23.51,1.25,Less than 5,1.25
20063,20063,53.79,50 - 74,53.79,1.48,Less than 5,1.48
20065,20065,50.77,50 - 74,50.77,0.35,Less than 5,0.35
20067,20067,81.06,75 or more,81.06,4.5,Less than 5,4.5
20069,20069,75.69,75 or more,75.69,5.9,14-May,5.9
20071,20071,91.98,75 or more,91.98,1.7,Less than 5,1.7
20073,20073,14.21,14-May,14.21,2.97,Less than 5,2.97
20075,20075,76.27,75 or more,76.27,1.48,Less than 5,1.48
20077,20077,64.16,50 - 74,64.16,0.46,Less than 5,0.46
20079,20079,86.05,75 or more,86.05,2.02,Less than 5,2.02
20081,20081,70.07,50 - 74,70.07,5.39,14-May,5.39
20083,20083,59.61,50 - 74,59.61,1.93,Less than 5,1.93
20085,20085,32.4,30 - 49,32.4,2.89,Less than 5,2.89
20087,20087,39.15,30 - 49,39.15,2.58,Less than 5,2.58
20089,20089,50.62,50 - 74,50.62,0.44,Less than 5,0.44
20091,20091,19.54,15 - 29,19.54,4.77,Less than 5,4.77
20093,20093,76.02,75 or more,76.02,1.75,Less than 5,1.75
20095,20095,59.6,50 - 74,59.6,0.72,Less than 5,0.72
20097,20097,50.42,50 - 74,50.42,0.13,Less than 5,0.13
20099,20099,47.62,30 - 49,47.62,4.9,Less than 5,4.9
20101,20101,73.39,50 - 74,73.39,1.52,Less than 5,1.52
20103,20103,34.59,30 - 49,34.59,2.5,Less than 5,2.5
20105,20105,44.46,30 - 49,44.46,0.9,Less than 5,0.9
20107,20107,44.14,30 - 49,44.14,4.62,Less than 5,4.62
20109,20109,47.96,30 - 49,47.96,2.47,Less than 5,2.47
20111,20111,42.11,30 - 49,42.11,1.11,Less than 5,1.11
20113,20113,71.17,50 - 74,71.17,1.46,Less than 5,1.46
20115,20115,56.48,50 - 74,56.48,4.48,Less than 5,4.48
20117,20117,52.37,50 - 74,52.37,0.77,Less than 5,0.77
20119,20119,59.45,50 - 74,59.45,1.46,Less than 5,1.46
20121,20121,45.18,30 - 49,45.18,2.81,Less than 5,2.81
20123,20123,67.58,50 - 74,67.58,0.94,Less than 5,0.94
20125,20125,39.61,30 - 49,39.61,19.75,15 - 29,19.75
20127,20127,34.59,30 - 49,34.59,2.29,Less than 5,2.29
20129,20129,83.36,75 or more,83.36,(D),Less than 5,
20131,20131,56.41,50 - 74,56.41,3.78,Less than 5,3.78
20133,20133,47.94,30 - 49,47.94,2.75,Less than 5,2.75
20135,20135,59.94,50 - 74,59.94,0.09,Less than 5,0.09
20137,20137,48.14,30 - 49,48.14,1.12,Less than 5,1.12
20139,20139,55.67,50 - 74,55.67,0.69,Less than 5,0.69
20141,20141,40.71,30 - 49,40.71,0.49,Less than 5,0.49
20143,20143,51.81,50 - 74,51.81,0.48,Less than 5,0.48
20145,20145,82.55,75 or more,82.55,0.75,Less than 5,0.75
20147,20147,40.95,30 - 49,40.95,1.11,Less than 5,1.11
20149,20149,30.64,30 - 49,30.64,2.07,Less than 5,2.07
20151,20151,75.85,75 or more,75.85,0.67,Less than 5,0.67
20153,20153,51.85,50 - 74,51.85,3.95,Less than 5,3.95
20155,20155,73.64,50 - 74,73.64,1.6,Less than 5,1.6
20157,20157,56.31,50 - 74,56.31,0.57,Less than 5,0.57
20159,20159,77.65,75 or more,77.65,1.98,Less than 5,1.98
20161,20161,25.47,15 - 29,25.47,3.93,Less than 5,3.93
20163,20163,55.61,50 - 74,55.61,0.27,Less than 5,0.27
20165,20165,70.07,50 - 74,70.07,1.24,Less than 5,1.24
20167,20167,41.41,30 - 49,41.41,0.31,Less than 5,0.31
20169,20169,51.25,50 - 74,51.25,0.44,Less than 5,0.44
20171,20171,79.14,75 or more,79.14,13.66,14-May,13.66
20173,20173,62.03,50 - 74,62.03,1.79,Less than 5,1.79
20175,20175,75.18,75 or more,75.18,3.67,Less than 5,3.67
20177,20177,33.8,30 - 49,33.8,1.4,Less than 5,1.4
20179,20179,63.38,50 - 74,63.38,2.24,Less than 5,2.24
20181,20181,73.78,50 - 74,73.78,0.85,Less than 5,0.85
20183,20183,58.34,50 - 74,58.34,0.77,Less than 5,0.77
20185,20185,78.23,75 or more,78.23,1.05,Less than 5,1.05
20187,20187,89.7,75 or more,89.7,1.28,Less than 5,1.28
20189,20189,76.12,75 or more,76.12,1.15,Less than 5,1.15
20191,20191,78.41,75 or more,78.41,0.6,Less than 5,0.6
20193,20193,83.82,75 or more,83.82,0.53,Less than 5,0.53
20195,20195,45.44,30 - 49,45.44,0.36,Less than 5,0.36
20197,20197,21.17,15 - 29,21.17,1.8,Less than 5,1.8
20199,20199,60.42,50 - 74,60.42,1.51,Less than 5,1.51
20201,20201,52.07,50 - 74,52.07,1.94,Less than 5,1.94
20203,20203,76.36,75 or more,76.36,5.66,14-May,5.66
20205,20205,38.99,30 - 49,38.99,2.39,Less than 5,2.39
20207,20207,48.31,30 - 49,48.31,0.52,Less than 5,0.52
20209,20209,7.55,14-May,7.55,2.22,Less than 5,2.22
21001,21001,25.67,15 - 29,25.67,10,14-May,10
21003,21003,23.72,15 - 29,23.72,6.06,14-May,6.06
21005,21005,22.78,15 - 29,22.78,4.61,Less than 5,4.61
21007,21007,53.98,50 - 74,53.98,3.71,Less than 5,3.71
21009,21009,41.66,30 - 49,41.66,11.34,14-May,11.34
21011,21011,26.82,15 - 29,26.82,3.47,Less than 5,3.47
21013,21013,0.76,Less than 5,0.76,1.43,Less than 5,1.43
21015,21015,17.96,15 - 29,17.96,8.71,14-May,8.71
21017,21017,40.34,30 - 49,40.34,7.96,14-May,7.96
21019,21019,4.72,Less than 5,4.72,10.88,14-May,10.88
21021,21021,36.26,30 - 49,36.26,8.84,14-May,8.84
21023,21023,22.04,15 - 29,22.04,15.11,15 - 29,15.11
21025,21025,1.54,Less than 5,1.54,(D),Less than 5,
21027,21027,32.13,30 - 49,32.13,12.75,14-May,12.75
21029,21029,10.63,14-May,10.63,4.76,Less than 5,4.76
21031,21031,23.02,15 - 29,23.02,4.37,Less than 5,4.37
21033,21033,38.73,30 - 49,38.73,1.34,Less than 5,1.34
21035,21035,53.54,50 - 74,53.54,1.61,Less than 5,1.61
21037,21037,15.46,15 - 29,15.46,14.05,14-May,14.05
21039,21039,65.65,50 - 74,65.65,4.21,Less than 5,4.21
21041,21041,26.34,15 - 29,26.34,1.81,Less than 5,1.81
21043,21043,8.63,14-May,8.63,12.72,14-May,12.72
21045,21045,21.3,15 - 29,21.3,6.87,14-May,6.87
21047,21047,54.94,50 - 74,54.94,2.52,Less than 5,2.52
21049,21049,31.23,30 - 49,31.23,2.42,Less than 5,2.42
21051,21051,3.31,Less than 5,3.31,5.4,14-May,5.4
21053,21053,20.59,15 - 29,20.59,13.13,14-May,13.13
21055,21055,36.03,30 - 49,36.03,1.49,Less than 5,1.49
21057,21057,9.04,14-May,9.04,3.27,Less than 5,3.27
21059,21059,64.84,50 - 74,64.84,5.37,14-May,5.37
21061,21061,18,15 - 29,18,3.95,Less than 5,3.95
21063,21063,9.01,14-May,9.01,14.39,14-May,14.39
21065,21065,8.68,14-May,8.68,4.04,Less than 5,4.04
21067,21067,22.23,15 - 29,22.23,13.14,14-May,13.14
21069,21069,32.78,30 - 49,32.78,8.86,14-May,8.86
21071,21071,0.46,Less than 5,0.46,4.71,Less than 5,4.71
21073,21073,22.61,15 - 29,22.61,4.51,Less than 5,4.51
21075,21075,56.42,50 - 74,56.42,2.57,Less than 5,2.57
21077,21077,16.66,15 - 29,16.66,5.59,14-May,5.59
21079,21079,29.67,15 - 29,29.67,8.65,14-May,8.65
21081,21081,19.98,15 - 29,19.98,7.68,14-May,7.68
21083,21083,62.83,50 - 74,62.83,5.19,14-May,5.19
21085,21085,27.35,15 - 29,27.35,7.59,14-May,7.59
21087,21087,36.84,30 - 49,36.84,5.45,14-May,5.45
21089,21089,7.94,14-May,7.94,8.27,14-May,8.27
21091,21091,19.48,15 - 29,19.48,2.88,Less than 5,2.88
21093,21093,28.69,15 - 29,28.69,3.87,Less than 5,3.87
21095,21095,0.09,Less than 5,0.09,3.62,Less than 5,3.62
21097,21097,32.77,30 - 49,32.77,5.7,14-May,5.7
21099,21099,28.86,15 - 29,28.86,4.38,Less than 5,4.38
21101,21101,53.68,50 - 74,53.68,1.18,Less than 5,1.18
21103,21103,31.74,30 - 49,31.74,4.46,Less than 5,4.46
21105,21105,77.17,75 or more,77.17,13.76,14-May,13.76
21107,21107,27.17,15 - 29,27.17,8.65,14-May,8.65
21109,21109,10.43,14-May,10.43,14.05,14-May,14.05
21111,21111,4.5,Less than 5,4.5,8.74,14-May,8.74
21113,21113,30.47,30 - 49,30.47,5.09,14-May,5.09
21115,21115,2.95,Less than 5,2.95,5.32,14-May,5.32
21117,21117,14.77,14-May,14.77,8.89,14-May,8.89
21119,21119,0.79,Less than 5,0.79,7.71,14-May,7.71
21121,21121,3.88,Less than 5,3.88,4.35,Less than 5,4.35
21123,21123,40,30 - 49,40,2.66,Less than 5,2.66
21125,21125,12.61,14-May,12.61,8.18,14-May,8.18
21127,21127,2.43,Less than 5,2.43,6.75,14-May,6.75
21129,21129,4.07,Less than 5,4.07,4.84,Less than 5,4.84
21131,21131,0.08,Less than 5,0.08,0,Less than 5,0
21133,21133,0.2,Less than 5,0.2,7.62,14-May,7.62
21135,21135,10.62,14-May,10.62,8.06,14-May,8.06
21137,21137,34.08,30 - 49,34.08,7.06,14-May,7.06
21139,21139,31.17,30 - 49,31.17,0.84,Less than 5,0.84
21141,21141,54.44,50 - 74,54.44,3.09,Less than 5,3.09
21143,21143,17.25,15 - 29,17.25,1.1,Less than 5,1.1
21145,21145,31.24,30 - 49,31.24,0.97,Less than 5,0.97
21147,21147,1.21,Less than 5,1.21,10.68,14-May,10.68
21149,21149,59.71,50 - 74,59.71,8.57,14-May,8.57
21151,21151,26.08,15 - 29,26.08,3.86,Less than 5,3.86
21153,21153,4,Less than 5,4,5.11,14-May,5.11
21155,21155,31.99,30 - 49,31.99,7.3,14-May,7.3
21157,21157,28.42,15 - 29,28.42,8.63,14-May,8.63
21159,21159,0.21,Less than 5,0.21,26.92,15 - 29,26.92
21161,21161,37.69,30 - 49,37.69,5.18,14-May,5.18
21163,21163,32.6,30 - 49,32.6,3.95,Less than 5,3.95
21165,21165,7.66,14-May,7.66,6.53,14-May,6.53
21167,21167,37.31,30 - 49,37.31,9.69,14-May,9.69
21169,21169,26.8,15 - 29,26.8,9.13,14-May,9.13
21171,21171,29.4,15 - 29,29.4,11.79,14-May,11.79
21173,21173,31.68,30 - 49,31.68,4.08,Less than 5,4.08
21175,21175,9.85,14-May,9.85,11.25,14-May,11.25
21177,21177,22.46,15 - 29,22.46,3.82,Less than 5,3.82
21179,21179,36.36,30 - 49,36.36,3.91,Less than 5,3.91
21181,21181,32.76,30 - 49,32.76,2.98,Less than 5,2.98
21183,21183,20.97,15 - 29,20.97,8.19,14-May,8.19
21185,21185,20.25,15 - 29,20.25,3.56,Less than 5,3.56
21187,21187,20.36,15 - 29,20.36,3.59,Less than 5,3.59
21189,21189,5.43,14-May,5.43,1.24,Less than 5,1.24
21191,21191,17.88,15 - 29,17.88,8.71,14-May,8.71
21193,21193,0.41,Less than 5,0.41,7.23,14-May,7.23
21195,21195,0.42,Less than 5,0.42,(D),60 or more,
21197,21197,6.53,14-May,6.53,2.13,Less than 5,2.13
21199,21199,21.38,15 - 29,21.38,6.86,14-May,6.86
21201,21201,19.89,15 - 29,19.89,5.76,14-May,5.76
21203,21203,14.94,14-May,14.94,5.7,14-May,5.7
21205,21205,8.4,14-May,8.4,7.42,14-May,7.42
21207,21207,21.51,15 - 29,21.51,11.24,14-May,11.24
21209,21209,26.65,15 - 29,26.65,5.61,14-May,5.61
21211,21211,45.79,30 - 49,45.79,4.12,Less than 5,4.12
21213,21213,52.4,50 - 74,52.4,2.19,Less than 5,2.19
21215,21215,26.08,15 - 29,26.08,2.07,Less than 5,2.07
21217,21217,34.9,30 - 49,34.9,7.64,14-May,7.64
21219,21219,52.84,50 - 74,52.84,9.66,14-May,9.66
21221,21221,25.41,15 - 29,25.41,2.11,Less than 5,2.11
21223,21223,19.6,15 - 29,19.6,2.67,Less than 5,2.67
21225,21225,76.53,75 or more,76.53,2.96,Less than 5,2.96
21227,21227,42.17,30 - 49,42.17,6.97,14-May,6.97
21229,21229,29.41,15 - 29,29.41,5.65,14-May,5.65
21231,21231,13.92,14-May,13.92,16.86,15 - 29,16.86
21233,21233,50.78,50 - 74,50.78,6.36,14-May,6.36
21235,21235,6.02,14-May,6.02,6.67,14-May,6.67
21237,21237,5.63,14-May,5.63,7.73,14-May,7.73
21239,21239,28.68,15 - 29,28.68,12.16,14-May,12.16
22001,22001,44.63,30 - 49,44.63,0.35,Less than 5,0.35
22003,22003,9.67,14-May,9.67,2.06,Less than 5,2.06
22005,22005,10.96,14-May,10.96,(D),Less than 5,
22007,22007,25.83,15 - 29,25.83,(D),Less than 5,
22009,22009,38.19,30 - 49,38.19,0.34,Less than 5,0.34
22011,22011,5.76,14-May,5.76,18.44,15 - 29,18.44
22013,22013,3.12,Less than 5,3.12,7.62,14-May,7.62
22015,22015,5.29,14-May,5.29,12.11,14-May,12.11
22017,22017,10.41,14-May,10.41,4.46,Less than 5,4.46
22019,22019,12.62,14-May,12.62,0.38,Less than 5,0.38
22021,22021,8.51,14-May,8.51,3.31,Less than 5,3.31
22023,22023,6.73,14-May,6.73,0.08,Less than 5,0.08
22025,22025,36.67,30 - 49,36.67,0.55,Less than 5,0.55
22027,22027,2.59,Less than 5,2.59,88.07,60 or more,88.07
22029,22029,38.39,30 - 49,38.39,0.32,Less than 5,0.32
22031,22031,5.4,14-May,5.4,10.5,14-May,10.5
22033,22033,4.57,Less than 5,4.57,1.28,Less than 5,1.28
22035,22035,79.58,75 or more,79.58,0.35,Less than 5,0.35
22037,22037,8.95,14-May,8.95,3.08,Less than 5,3.08
22039,22039,24.52,15 - 29,24.52,0.37,Less than 5,0.37
22041,22041,40.63,30 - 49,40.63,3.05,Less than 5,3.05
22043,22043,4.12,Less than 5,4.12,1.13,Less than 5,1.13
22045,22045,23.28,15 - 29,23.28,0.42,Less than 5,0.42
22047,22047,15.91,15 - 29,15.91,0.63,Less than 5,0.63
22049,22049,0.95,Less than 5,0.95,84.8,60 or more,84.8
22051,22051,0.4,Less than 5,0.4,2.38,Less than 5,2.38
22053,22053,44.73,30 - 49,44.73,0.41,Less than 5,0.41
22055,22055,20.22,15 - 29,20.22,0.94,Less than 5,0.94
22057,22057,7.66,14-May,7.66,1.26,Less than 5,1.26
22059,22059,1,Less than 5,1,11.78,14-May,11.78
22061,22061,3.11,Less than 5,3.11,77.53,60 or more,77.53
22063,22063,1.28,Less than 5,1.28,9.26,14-May,9.26
22065,22065,45.21,30 - 49,45.21,1.75,Less than 5,1.75
22067,22067,40.64,30 - 49,40.64,1.72,Less than 5,1.72
22069,22069,8.78,14-May,8.78,4.61,Less than 5,4.61
22071,22071,0.02,Less than 5,0.02,11.54,14-May,11.54
22073,22073,12.14,14-May,12.14,7.33,14-May,7.33
22075,22075,1.71,Less than 5,1.71,0,Less than 5,0
22077,22077,40.31,30 - 49,40.31,0.42,Less than 5,0.42
22079,22079,15.66,15 - 29,15.66,0.93,Less than 5,0.93
22081,22081,13.76,14-May,13.76,17.67,15 - 29,17.67
22083,22083,52.95,50 - 74,52.95,13.13,14-May,13.13
22085,22085,2.17,Less than 5,2.17,24.36,15 - 29,24.36
22087,22087,1.8,Less than 5,1.8,7.91,14-May,7.91
22089,22089,1.05,Less than 5,1.05,5.47,14-May,5.47
22091,22091,6.51,14-May,6.51,41.46,30 - 59,41.46
22093,22093,23.97,15 - 29,23.97,(D),Less than 5,
22095,22095,5.8,14-May,5.8,(D),Less than 5,
22097,22097,37.87,30 - 49,37.87,0.77,Less than 5,0.77
22099,22099,12.33,14-May,12.33,0.48,Less than 5,0.48
22101,22101,17.73,15 - 29,17.73,(D),Less than 5,
22103,22103,1.46,Less than 5,1.46,6.68,14-May,6.68
22105,22105,7.16,14-May,7.16,23.58,15 - 29,23.58
22107,22107,43.59,30 - 49,43.59,0,Less than 5,0
22109,22109,2.73,Less than 5,2.73,0.09,Less than 5,0.09
22111,22111,3,Less than 5,3,52.6,30 - 59,52.6
22113,22113,22.89,15 - 29,22.89,1.4,Less than 5,1.4
22115,22115,1.05,Less than 5,1.05,11.49,14-May,11.49
22117,22117,6.68,14-May,6.68,11.85,14-May,11.85
22119,22119,2.65,Less than 5,2.65,7.6,14-May,7.6
22121,22121,20.82,15 - 29,20.82,0,Less than 5,0
22123,22123,50.35,50 - 74,50.35,2.52,Less than 5,2.52
22125,22125,11.19,14-May,11.19,(D),Less than 5,
22127,22127,0.68,Less than 5,0.68,47.22,30 - 59,47.22
23001,23001,7.36,14-May,7.36,39.65,30 - 59,39.65
23003,23003,4.39,Less than 5,4.39,2.97,Less than 5,2.97
23005,23005,3.36,Less than 5,3.36,21.82,15 - 29,21.82
23007,23007,0.88,Less than 5,0.88,32.77,30 - 59,32.77
23009,23009,1.18,Less than 5,1.18,3.4,Less than 5,3.4
23011,23011,5.9,14-May,5.9,33.46,30 - 59,33.46
23013,23013,3.21,Less than 5,3.21,9.63,14-May,9.63
23015,23015,2.54,Less than 5,2.54,15.85,15 - 29,15.85
23017,23017,1.18,Less than 5,1.18,27.59,15 - 29,27.59
23019,23019,1.64,Less than 5,1.64,33.56,30 - 59,33.56
23021,23021,0.49,Less than 5,0.49,12.59,14-May,12.59
23023,23023,3.18,Less than 5,3.18,16.12,15 - 29,16.12
23025,23025,1.2,Less than 5,1.2,34.28,30 - 59,34.28
23027,23027,5.32,14-May,5.32,30.58,30 - 59,30.58
23029,23029,2.18,Less than 5,2.18,0.88,Less than 5,0.88
23031,23031,3.31,Less than 5,3.31,17.33,15 - 29,17.33
24001,24001,4.35,Less than 5,4.35,13.25,14-May,13.25
24003,24003,5.55,14-May,5.55,5.4,14-May,5.4
24005,24005,10.27,14-May,10.27,7.1,14-May,7.1
24009,24009,15.57,15 - 29,15.57,2.97,Less than 5,2.97
24011,24011,59.38,50 - 74,59.38,17.83,15 - 29,17.83
24013,24013,33.95,30 - 49,33.95,17.66,15 - 29,17.66
24015,24015,24.72,15 - 29,24.72,12.39,14-May,12.39
24017,24017,8.63,14-May,8.63,4.97,Less than 5,4.97
24019,24019,26.57,15 - 29,26.57,12.12,14-May,12.12
24021,24021,30.08,30 - 49,30.08,25.39,15 - 29,25.39
24023,24023,10.03,14-May,10.03,33.33,30 - 59,33.33
24025,24025,14.45,14-May,14.45,7.98,14-May,7.98
24027,24027,13.03,14-May,13.03,5.63,14-May,5.63
24029,24029,59.02,50 - 74,59.02,12.78,14-May,12.78
24031,24031,14.49,14-May,14.49,4.61,Less than 5,4.61
24033,24033,4.15,Less than 5,4.15,7.11,14-May,7.11
24035,24035,54.59,50 - 74,54.59,7.09,14-May,7.09
24037,24037,18.03,15 - 29,18.03,7.14,14-May,7.14
24039,24039,17.79,15 - 29,17.79,22.81,15 - 29,22.81
24041,24041,57.13,50 - 74,57.13,8.78,14-May,8.78
24043,24043,29.1,15 - 29,29.1,30.96,30 - 59,30.96
24045,24045,23.41,15 - 29,23.41,17.2,15 - 29,17.2
24047,24047,23.8,15 - 29,23.8,17.19,15 - 29,17.19
25001,25001,0.61,Less than 5,0.61,3.95,Less than 5,3.95
25003,25003,3.1,Less than 5,3.1,20.44,15 - 29,20.44
25005,25005,3.36,Less than 5,3.36,8.26,14-May,8.26
25007,25007,(D),Less than 5,,(D),15 - 29,
25009,25009,2.91,Less than 5,2.91,9.26,14-May,9.26
25011,25011,5.03,14-May,5.03,17.03,15 - 29,17.03
25013,25013,2.8,Less than 5,2.8,23.03,15 - 29,23.03
25015,25015,6.37,14-May,6.37,18.81,15 - 29,18.81
25017,25017,2.04,Less than 5,2.04,12.01,14-May,12.01
25019,25019,2.16,Less than 5,2.16,0.81,Less than 5,0.81
25021,25021,1.34,Less than 5,1.34,14.39,14-May,14.39
25023,25023,4.09,Less than 5,4.09,3.32,Less than 5,3.32
25025,25025,(D),Less than 5,,(D),Less than 5,
25027,25027,3.33,Less than 5,3.33,18.17,15 - 29,18.17
26001,26001,5.51,14-May,5.51,9.51,14-May,9.51
26003,26003,1.49,Less than 5,1.49,13.85,14-May,13.85
26005,26005,42.29,30 - 49,42.29,14.84,14-May,14.84
26007,26007,12.06,14-May,12.06,10.5,14-May,10.5
26009,26009,11.15,14-May,11.15,12.08,14-May,12.08
26011,26011,27.11,15 - 29,27.11,10.29,14-May,10.29
26013,26013,1.37,Less than 5,1.37,4.85,Less than 5,4.85
26015,26015,33.73,30 - 49,33.73,19.9,15 - 29,19.9
26017,26017,61.64,50 - 74,61.64,2.07,Less than 5,2.07
26019,26019,4.8,Less than 5,4.8,5.48,14-May,5.48
26021,26021,34.7,30 - 49,34.7,3.22,Less than 5,3.22
26023,26023,61,50 - 74,61,5.78,14-May,5.78
26025,26025,38.85,30 - 49,38.85,9.97,14-May,9.97
26027,26027,47.18,30 - 49,47.18,8.48,14-May,8.48
26029,26029,7.8,14-May,7.8,10.49,14-May,10.49
26031,26031,4.76,Less than 5,4.76,15.08,15 - 29,15.08
26033,26033,5.75,14-May,5.75,5.79,14-May,5.79
26035,26035,8.49,14-May,8.49,18.14,15 - 29,18.14
26037,26037,56.74,50 - 74,56.74,10.91,14-May,10.91
26039,26039,0.22,Less than 5,0.22,(D),15 - 29,
26041,26041,4.67,Less than 5,4.67,12.67,14-May,12.67
26043,26043,3.18,Less than 5,3.18,8.98,14-May,8.98
26045,26045,47.84,30 - 49,47.84,6.61,14-May,6.61
26047,26047,5.97,14-May,5.97,7.78,14-May,7.78
26049,26049,25.17,15 - 29,25.17,6.69,14-May,6.69
26051,26051,12.49,14-May,12.49,9.82,14-May,9.82
26053,26053,0.34,Less than 5,0.34,8.86,14-May,8.86
26055,26055,12.24,14-May,12.24,14.19,14-May,14.19
26057,26057,71.34,50 - 74,71.34,10.83,14-May,10.83
26059,26059,54.32,50 - 74,54.32,7.95,14-May,7.95
26061,26061,1.68,Less than 5,1.68,14.79,14-May,14.79
26063,26063,75.87,75 or more,75.87,14.67,14-May,14.67
26065,26065,47.03,30 - 49,47.03,6.37,14-May,6.37
26067,26067,55.55,50 - 74,55.55,17.72,15 - 29,17.72
26069,26069,6.73,14-May,6.73,15.08,15 - 29,15.08
26071,26071,1.27,Less than 5,1.27,2.27,Less than 5,2.27
26073,26073,40.61,30 - 49,40.61,11.37,14-May,11.37
26075,26075,30.29,30 - 49,30.29,7.47,14-May,7.47
26077,26077,31.39,30 - 49,31.39,8.47,14-May,8.47
26079,26079,3.59,Less than 5,3.59,4.72,Less than 5,4.72
26081,26081,22.22,15 - 29,22.22,13.16,14-May,13.16
26083,26083,0,Less than 5,0,(D),Less than 5,
26085,26085,3.16,Less than 5,3.16,19.39,15 - 29,19.39
26087,26087,33.25,30 - 49,33.25,8.92,14-May,8.92
26089,26089,14.97,14-May,14.97,6.91,14-May,6.91
26091,26091,62.4,50 - 74,62.4,6.31,14-May,6.31
26093,26093,16.86,15 - 29,16.86,9.69,14-May,9.69
26095,26095,0.74,Less than 5,0.74,4.65,Less than 5,4.65
26097,26097,1.75,Less than 5,1.75,15.06,15 - 29,15.06
26099,26099,19.04,15 - 29,19.04,2.5,Less than 5,2.5
26101,26101,5.79,14-May,5.79,5.84,14-May,5.84
26103,26103,0.79,Less than 5,0.79,15.53,15 - 29,15.53
26105,26105,17.89,15 - 29,17.89,15.08,15 - 29,15.08
26107,26107,22.45,15 - 29,22.45,14.32,14-May,14.32
26109,26109,7.53,14-May,7.53,21.42,15 - 29,21.42
26111,26111,21.04,15 - 29,21.04,3.58,Less than 5,3.58
26113,26113,19.83,15 - 29,19.83,35.99,30 - 59,35.99
26115,26115,55.79,50 - 74,55.79,2.85,Less than 5,2.85
26117,26117,40.11,30 - 49,40.11,11.03,14-May,11.03
26119,26119,4.17,Less than 5,4.17,8.93,14-May,8.93
26121,26121,15.33,15 - 29,15.33,13.14,14-May,13.14
26123,26123,16.02,15 - 29,16.02,23.01,15 - 29,23.01
26125,26125,3.38,Less than 5,3.38,16.64,15 - 29,16.64
26127,26127,27.26,15 - 29,27.26,12.32,14-May,12.32
26129,26129,11.15,14-May,11.15,23.87,15 - 29,23.87
26131,26131,1.66,Less than 5,1.66,4.55,Less than 5,4.55
26133,26133,17.84,15 - 29,17.84,20.82,15 - 29,20.82
26135,26135,2.17,Less than 5,2.17,26.95,15 - 29,26.95
26137,26137,4.34,Less than 5,4.34,6.33,14-May,6.33
